Es,Ms
"38361,""1,4"""
"38192,""2,3"""
"36326,""2,4"""
"39332,""1,8"""
"39361,""2,3"""
"37856,""2,1"""
"38705,""1,2"""
"37851,""0,9"""
"38111,""1,2"""
"38728,""1,4"""
"38214,""1,3"""
"37418,""1,1"""
"37731,""0,9"""
"37119,""2,1"""
"38193,""1,4"""
"36153,""2,1"""
"38069,""1,2"""
"38906,""1,7"""
"37764,""2,4"""
"39893,""2,9"""
"40596,""0,8"""
"39601,""1,4"""
"38082,""1,7"""
"39015,""2,3"""
38266,1
"38177,""1,2"""
"36037,""1,1"""
"38103,""1,1"""
"37334,""0,9"""
"38103,""3,2"""
"37589,""3,1"""
39371,3
"37424,""1,7"""
"37961,""3,1"""
"37442,""3,5"""
"37466,""2,1"""
"38286,""1,2"""
"37439,""2,1"""
"35774,""1,6"""
"36031,""1,6"""
"37483,""1,9"""
"37342,""1,6"""
35101,2
"40438,""1,1"""
"36301,""1,1"""
"39845,""2,8"""
"37287,""1,1"""
"37992,""1,7"""
"38374,""1,6"""
"38471,""2,1"""
"37826,""1,6"""
"38275,""1,6"""
"37464,""1,9"""
"36322,""1,6"""
38153,2
"38886,""1,1"""
"38142,""1,1"""
"38606,""2,8"""
"38203,""1,1"""
"38576,""1,7"""
"38135,""1,6"""
37351,2
"38192,""1,6"""
"38162,""1,3"""
"37767,""1,7"""
"36887,""1,8"""
"38125,""1,7"""
40561,1
"37934,""1,5"""
"36802,""2,5"""
"37979,""2,1"""
"37322,""1,7"""
"35259,""1,6"""
38325,1
"37696,""2,3"""
"35261,""2,1"""
"35251,""2,3"""
"38167,""2,5"""
"37836,""2,2"""
41557,2
"38055,""2,1"""
38452,2
"38031,""2,2"""
"39014,""1,5"""
"38076,""1,9"""
"37121,""1,9"""
"37269,""1,5"""
"38061,""1,8"""
"37344,""2,7"""
38318,2
"38099,""2,3"""
"40789,""2,6"""
"38205,""1,6"""
"38317,""1,8"""
"37943,""1,4"""
"38084,""2,1"""
"38674,""1,5"""
"38185,""1,7"""
"36759,""1,4"""
"37212,""1,1"""
"38191,""1,3"""
"39244,""2,3"""
"37461,""1,3"""
"38113,""2,1"""
"37874,""2,9"""
"39951,""0,8"""
"36337,""1,2"""
"38602,""2,1"""
"37486,""1,5"""
"36326,""1,3"""
"38092,""1,4"""
"37356,""1,6"""
"36560,""1,9"""
"37797,""1,2"""
"38071,""1,2"""
