E,B,D,M
35181,26241,"7,85","1,5"
38361,30122,"7,2","1,4"
38192,38679,"7,2","2,3"
36326,36345,"7,86","2,4"
39332,33680,7,"1,8"
39361,27027,7,"2,3"
37856,27960,7,"2,1"
38705,39412,"7,8","1,2"
37851,30503,7,"0,9"
38111,33101,"9,2","1,2"
38728,40092,"5,76","1,4"
38214,38017,7,"1,3"
37418,34981,7,"1,1"
37731,36181,7,"0,9"
37119,27916,7,"2,1"
38193,38714,7,"1,4"
36153,33543,7,"2,1"
38069,32759,7,"1,2"
38906,38021,"13,62","1,7"
37764,35621,7,"2,4"
39893,28854,7,"2,9"
40596,40918,7,"0,8"
39601,29426,7,"1,4"
38082,35313,"6,35","1,7"
39015,27001,"14,82","2,3"
38266,26671,7,1
38177,35207,"1,58","1,2"
36037,35908,"6,51","1,1"
38103,38553,"14,53","1,1"
37334,36855,"8,73","0,9"
38103,37139,7,"3,2"
37589,37760,"21,84","3,1"
39371,26297,14,3
37424,28899,7,"1,7"
37961,38079,6,"3,1"
37442,36609,7,"3,5"
37466,37056,7,"2,1"
38286,38857,7,"1,2"
37439,37134,4,"2,1"
35774,30339,7,"1,6"
36031,35893,1,"1,6"
37483,36946,5,"1,9"
37342,36869,5,"1,6"
35101,26808,4,2
40438,32158,3,"1,1"
36301,36333,2,"1,1"
39845,40665,"4,2","2,8"
37287,36875,4,"1,1"
37992,38192,"5,3","1,7"
38374,38833,"13,91","1,6"
38471,37566,"7,5","2,1"
37826,36100,"7,1","1,6"
38275,38270,"6,2","1,6"
37464,37014,"3,8","1,9"
36322,36350,"2,8","1,6"
38153,37819,"5,7",2
38886,43535,"7,2","1,1"
38142,36854,"2,9","1,1"
38606,39821,"1,9","2,8"
38203,38683,"3,4","1,1"
38576,31658,"7,3","1,7"
38135,38473,"6,4","1,6"
37351,37067,7,2
38192,38689,7,"1,6"
38162,37552,"4,9","1,3"
37767,36285,7,"1,7"
36887,26525,7,"1,8"
38125,38423,7,"1,7"
40561,27309,"3,8",1
37934,36236,"13,8","1,5"
36802,36462,"7,5","2,5"
37979,36354,"7,4","2,1"
37322,37102,"2,9","1,7"
35259,27103,"3,7","1,6"
38325,37375,7,1
37696,35353,"7,12","2,3"
35261,26827,"22,56","2,1"
35251,26877,"7,14","2,3"
38167,36618,7,"2,5"
